謝安琪4gtv,#genre#
CCTV 15 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265014
CCTV 16,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000006000233002
CCTV 16 4K HEVC,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000008000023254
CCTV 17,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000006000268004
CCTV 17 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265015

衛視,#genre#
江蘇衛視 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000014861
江蘇衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265030
江蘇衛視,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000001828
浙江衛視 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000007275
浙江衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265031
浙江衛視,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000014260
湖南衛視 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000018044
湖南衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265024
湖南衛視,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000006692
北京衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265027
北京衛視,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000020451
東方衛視 50 FPS,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000014098
東方衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265018
東方衛視,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000003639
山東衛視 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000004134
山東衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265019
山東衛視,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000001000016568
天津衛視 50 FPS,https://kaytse4gtv.koyeb.app/itv/wasusyt/6000000001000009186
天津衛視 HEVC,https://kaytse4gtv.koyeb.app/itv/ystenlive/1000000005000265026
天津衛視,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000006827
四川衛視,https://kaytse4gtv.koyeb.app/itv/bestzb/5000000004000006119
