央视,#genre#
军旅剧场,https://tv.2cf.x10.mx/2gx/3221225727/1.m3u8?servicetype=1
家庭剧场,https://tv.2cf.x10.mx/2gx/3221225743/1.m3u8?servicetype=1
金牌综艺,https://tv.2cf.x10.mx/2gx/3221225755/1.m3u8?servicetype=1
惊悚悬疑,https://tv.2cf.x10.mx/2gx/3221225746/1.m3u8?servicetype=1
军事评论,https://tv.2cf.x10.mx/2gx/3221225749/1.m3u8?servicetype=1
农业致富,https://tv.2cf.x10.mx/2gx/3221225687/1.m3u8?servicetype=1
中国功夫,https://tv.2cf.x10.mx/2gx/3221225690/1.m3u8?servicetype=1
炫舞未来,https://tv.2cf.x10.mx/2gx/3221225973/1.m3u8?servicetype=1
怡伴健康,https://tv.2cf.x10.mx/2gx/3221225684/1.m3u8?servicetype=1
哒啵赛事,https://tv.2cf.x10.mx/2gx/3221225760/1.m3u8?servicetype=1
哒啵电竞,https://tv.2cf.x10.mx/2gx/3221225880/1.m3u8?servicetype=1
热播精选,https://tv.2cf.x10.mx/2gx/3221225763/1.m3u8?servicetype=1
睛彩竞技,https://tv.2cf.x10.mx/2gx/3221225972/1.m3u8?servicetype=1
睛彩篮球,https://tv.2cf.x10.mx/2gx/3221225961/1.m3u8?servicetype=1
睛彩青少,https://tv.2cf.x10.mx/2gx/3221226055/1.m3u8?servicetype=1

纯享,#genre#
黑莓电影,https://tv.2cf.x10.mx/2gx/3221225740/1.m3u8?servicetype=1
纯享4K,https://tv.2cf.x10.mx/2gx/3221225726/1.m3u8?servicetype=1
北京纪实,https://tv.2cf.x10.mx/2gx/3221225995/1.m3u8?servicetype=1
金鹰纪实,https://tv.2cf.x10.mx/2gx/3221225699/1.m3u8?servicetype=1
CCTV高尔夫·网球,https://tv.2cf.x10.mx/2gx/3221225884/1.m3u8?servicetype=1
CGTN,#genre#
CGTN新闻,https://tv.2cf.x10.mx/2gx/3221225816/1.m3u8?servicetype=1
CGTN纪录,https://tv.2cf.x10.mx/2gx/3221225707/1.m3u8?servicetype=1
CGTN西班牙语,https://tv.2cf.x10.mx/2gx/3221225875/1.m3u8?servicetype=1
CGTN法语,https://tv.2cf.x10.mx/2gx/3221225878/1.m3u8?servicetype=1
CGTN阿拉伯语,https://tv.2cf.x10.mx/2gx/3221225822/1.m3u8?servicetype=1
CGTN俄语,https://tv.2cf.x10.mx/2gx/3221225825/1.m3u8?servicetype=1

少儿,#genre#
金鹰卡通,https://tv.2cf.x10.mx/2gx/3221225702/1.m3u8?servicetype=1
嘉佳卡通,https://tv.2cf.x10.mx/2gx/3221225797/1.m3u8?servicetype=1
炫动卡通,https://tv.2cf.x10.mx/2gx/3221225711/1.m3u8?servicetype=1
卡酷少儿,https://tv.2cf.x10.mx/2gx/3221225730/1.m3u8?servicetype=1
优漫卡通,https://tv.2cf.x10.mx/2gx/3221225791/1.m3u8?servicetype=1
黑莓动画,https://tv.2cf.x10.mx/2gx/3221225710/1.m3u8?servicetype=1
中国教育-1,https://tv.2cf.x10.mx/2gx/3221225776/1.m3u8?servicetype=1
