卡通頻道,#genre#
58  民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2
59  民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=1&ch=61
60  民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1
61  民視新聞台,https://www.4gtv.tv/channel/litv-ftv13?set=1&ch=31
62  民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=16
63  民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=24
64  好消息,https://www.4gtv.tv/channel/litv-ftv16?set=1&ch=9
65  好消息2台,https://www.4gtv.tv/channel/litv-ftv17?set=1&ch=8
66  車迷TV,https://www.4gtv.tv/channel/4gtv-live201?set=1&ch=160
67  亞洲旅遊台,https://www.4gtv.tv/channel/4gtv-4gtv076?set=1&ch=250
68  幸福空間居家台,https://www.4gtv.tv/channel/4gtv-live206?set=1&ch=168
69  東森財經新聞台,https://www.4gtv.tv/channel/4gtv-4gtv153?set=1&ch=293
70  東森新聞台,https://www.4gtv.tv/channel/4gtv-4gtv152?set=1&ch=292
71  東森購物一台,https://www.4gtv.tv/channel/4gtv-live047?set=1&ch=173
72  東森購物二台,https://www.4gtv.tv/channel/4gtv-live046?set=1&ch=174
73  東森購物三台,https://www.4gtv.tv/channel/4gtv-live048?set=1&ch=287
74  東森購物四台,https://www.4gtv.tv/channel/4gtv-live049?set=1&ch=286
75  采昌影劇台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
76  金光布袋戲,https://www.4gtv.tv/channel/4gtv-live144?set=1&ch=236
77  客家電視台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107
78  原住民族電視台,https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=273
79  時尚運動X,https://www.4gtv.tv/channel/4gtv-4gtv014?set=1&ch=69
80  國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
81  國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
82  智林體育台,https://www.4gtv.tv/channel/4gtv-4gtv101?set=1&ch=58
83  華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6
84  華視新聞,https://www.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34
85  視納華仁紀實頻道,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
86  愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237
87  愛爾達娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=19
88  新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=223
89  經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
