4GTV豪華套餐,#genre#
122  國會頻道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
123  國會頻道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
124  TVBS綜藝台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=284
125  TVBS台劇台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=285
126  經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
127  經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
128  兒童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=1&ch=269
129  精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
130  戲劇免費看 1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=270
131  戲劇免費看 2台,https://www.4gtv.tv/channel/4gtv-live006?set=1&ch=244
132  電影免費看 2台,https://www.4gtv.tv/channel/4gtv-live005?set=1&ch=245
133  超人力霸王整套看,https://www.4gtv.tv/channel/4gtv-live015?set=1&ch=278
134  花系列 經典劇場,https://www.4gtv.tv/channel/4gtv-live016?set=1&ch=279
